FID_,Id,ORIG_FID,x,y
,0,0,-84.4292398486,33.6492008322
,0,1,-84.4260054977,33.6492076589
,0,2,-84.4227711456,33.6492144009
,0,3,-84.4195367925,33.6492210584
,0,4,-84.4001306522,33.6492592262
,0,5,-84.396896292,33.6492652913
,0,6,-84.3936619308,33.6492712719
,0,7,-84.3904275687,33.6492771678
,0,8,-84.3871932056,33.6492829791
,0,9,-84.3839588416,33.6492887059
,0,10,-84.3807244767,33.649294348
,0,11,-84.377490111,33.6492999055
,0,12,-84.3742557443,33.6493053784
,0,13,-84.3710213768,33.6493107666
,0,14,-84.3677870084,33.6493160703
,0,15,-84.3645526392,33.6493212894
,0,16,-84.3613182691,33.6493264238
,0,17,-84.3580838983,33.6493314736
,0,18,-84.3548495266,33.6493364389
,0,19,-84.3516151542,33.6493413195
,0,20,-84.3483807809,33.6493461155
,0,21,-84.4292480623,33.6519058271
,0,22,-84.4260136102,33.6519126544
,0,23,-84.422779157,33.6519193972
,0,24,-84.4195447027,33.6519260553
,0,25,-84.4001379553,33.6519642269
,0,26,-84.3969034939,33.6519702927
,0,27,-84.3936690316,33.6519762739
,0,28,-84.3904345683,33.6519821704
,0,29,-84.3872001041,33.6519879823
,0,30,-84.3839656389,33.6519937096
,0,31,-84.3807311729,33.6519993523
,0,32,-84.3774967059,33.6520049104
,0,33,-84.3742622381,33.6520103838
,0,34,-84.3710277694,33.6520157727
,0,35,-84.3677932998,33.6520210769
,0,36,-84.3645588294,33.6520262965
,0,37,-84.3613243582,33.6520314314
,0,38,-84.3580898862,33.6520364818
,0,39,-84.3548554133,33.6520414475
,0,40,-84.3516209397,33.6520463286
,0,41,-84.3483864653,33.6520511251
,0,42,-84.5198232754,33.6543852776
,0,43,-84.5165887579,33.6543944752
,0,44,-84.5133542389,33.6544035881
,0,45,-84.5101197185,33.6544126164
,0,46,-84.5068851967,33.6544215601
,0,47,-84.4292562772,33.6546108207
,0,48,-84.4260217239,33.6546176488
,0,49,-84.4227871695,33.6546243922
,0,50,-84.419552614,33.654631051
,0,51,-84.4001452595,33.6546692265
,0,52,-84.3969106969,33.6546752929
,0,53,-84.3936761334,33.6546812747
,0,54,-84.3904415689,33.6546871718
,0,55,-84.3872070035,33.6546929844
,0,56,-84.3839724371,33.6546987122
,0,57,-84.3807378699,33.6547043555
,0,58,-84.3775033017,33.6547099141
,0,59,-84.3742687327,33.6547153881
,0,60,-84.3710341628,33.6547207775
,0,61,-84.3677995921,33.6547260823
,0,62,-84.3645650205,33.6547313024
,0,63,-84.3613304481,33.6547364379
,0,64,-84.3580958748,33.6547414887
,0,65,-84.3548613008,33.654746455
,0,66,-84.351626726,33.6547513366
,0,67,-84.3483921504,33.6547561335
,0,68,-84.5263035578,33.6570715963
,0,69,-84.5230689421,33.6570809641
,0,70,-84.5198343249,33.6570902472
,0,71,-84.5165997062,33.6570994456
,0,72,-84.513365086,33.6571085595
,0,73,-84.5101304644,33.6571175887
,0,74,-84.5068958414,33.6571265333
,0,75,-84.4292644931,33.6573158132
,0,76,-84.4260298386,33.6573226419
,0,77,-84.422795183,33.657329386
,0,78,-84.4195605263,33.6573360455
,0,79,-84.3969179008,33.657380292
,0,80,-84.3936832361,33.6573862743
,0,81,-84.3904485704,33.6573921721
,0,82,-84.3872139038,33.6573979852
,0,83,-84.3839792362,33.6574037137
,0,84,-84.3807445678,33.6574093575
,0,85,-84.3775098984,33.6574149167
,0,86,-84.3742752282,33.6574203912
,0,87,-84.3710405571,33.6574257812
,0,88,-84.3678058852,33.6574310865
,0,89,-84.3645712124,33.6574363071
,0,90,-84.3613365388,33.6574414431
,0,91,-84.3581018643,33.6574464945
,0,92,-84.3548671891,33.6574514612
,0,93,-84.3516325131,33.6574563433
,0,94,-84.3483978363,33.6574611408
,0,95,-84.5295495266,33.6597671094
,0,96,-84.5263148112,33.6597765627
,0,97,-84.5230800942,33.6597859314
,0,98,-84.5198453758,33.6597952155
,0,99,-84.5166106559,33.6598044149
,0,100,-84.5133759345,33.6598135297
,0,101,-84.5101412117,33.6598225598
,0,102,-84.5069064875,33.6598315053
,0,103,-84.4260379544,33.6600276339
,0,104,-84.4228031976,33.6600343787
,0,105,-84.4195684397,33.6600410388
,0,106,-84.3969251057,33.6600852898
,0,107,-84.3936903397,33.6600912728
,0,108,-84.3904555728,33.6600971711
,0,109,-84.387220805,33.6601029848
,0,110,-84.3839860362,33.6601087139
